#    T [K]            N         DOS(Ef)           S             s/t               R_H        kappa0         c                 chi         Ef
  560.0000      0.00006458  0.42134928E+00  0.13822259E-04  0.90329757E+18 -0.26325069E-07  0.11594164E+15  0.13239856E+00  0.62903837E-11  0.39965240E+00
  570.0000      0.00006458  0.44557111E+00  0.10590103E-04  0.97273086E+18 -0.25494023E-07  0.12521170E+15  0.13994398E+00  0.66519948E-11  0.39969816E+00
  580.0000      0.00006458  0.47038722E+00  0.76225915E-05  0.10453944E+19 -0.24585487E-07  0.13497180E+15  0.14770189E+00  0.70224781E-11  0.39974217E+00
  590.0000      0.00006458  0.49578078E+00  0.48873245E-05  0.11213245E+19 -0.23640026E-07  0.14523335E+15  0.15567023E+00  0.74015822E-11  0.39978459E+00
  600.0000      0.00006458  0.52173525E+00  0.23566660E-05  0.12005557E+19 -0.22686196E-07  0.15600761E+15  0.16384701E+00  0.77890602E-11  0.39982555E+00
  610.0000      0.00006458  0.54823443E+00  0.69727709E-08  0.12831210E+19 -0.21743767E-07  0.16730574E+15  0.17223025E+00  0.81846702E-11  0.39986518E+00
  620.0000      0.00006458  0.57526243E+00 -0.21820450E-05  0.13690514E+19 -0.20826103E-07  0.17913875E+15  0.18081801E+00  0.85881751E-11  0.39990357E+00
  630.0000      0.00006458  0.60280367E+00 -0.42278530E-05  0.14583765E+19 -0.19941904E-07  0.19151751E+15  0.18960839E+00  0.89993422E-11  0.39994082E+00
  640.0000      0.00006458  0.63084287E+00 -0.61455318E-05  0.15511240E+19 -0.19096495E-07  0.20445278E+15  0.19859954E+00  0.94179434E-11  0.39997703E+00
  650.0000      0.00006458  0.65936506E+00 -0.79481431E-05  0.16473202E+19 -0.18292772E-07  0.21795516E+15  0.20778962E+00  0.98437553E-11  0.40001225E+00
  660.0000      0.00006458  0.68835559E+00 -0.96470342E-05  0.17469896E+19 -0.17531900E-07  0.23203512E+15  0.21717684E+00  0.10276559E-10  0.40004657E+00
  670.0000      0.00006458  0.71780010E+00 -0.11252093E-04  0.18501552E+19 -0.16813832E-07  0.24670299E+15  0.22675948E+00  0.10716140E-10  0.40008004E+00
  680.0000      0.00006458  0.74768454E+00 -0.12771963E-04  0.19568385E+19 -0.16137683E-07  0.26196897E+15  0.23653581E+00  0.11162289E-10  0.40011271E+00
  690.0000      0.00006458  0.77799518E+00 -0.14214221E-04  0.20670597E+19 -0.15502012E-07  0.27784310E+15  0.24650419E+00  0.11614801E-10  0.40014464E+00
  700.0000      0.00006458  0.80871859E+00 -0.15585530E-04  0.21808373E+19 -0.14905020E-07  0.29433530E+15  0.25666300E+00  0.12073476E-10  0.40017587E+00
  710.0000      0.00006458  0.83984166E+00 -0.16891765E-04  0.22981886E+19 -0.14344702E-07  0.31145536E+15  0.26701067E+00  0.12538116E-10  0.40020644E+00
  720.0000      0.00006458  0.87135156E+00 -0.18138124E-04  0.24191294E+19 -0.13818950E-07  0.32921291E+15  0.27754567E+00  0.13008532E-10  0.40023639E+00
  730.0000      0.00006458  0.90323578E+00 -0.19329220E-04  0.25436743E+19 -0.13325628E-07  0.34761747E+15  0.28826654E+00  0.13484536E-10  0.40026575E+00
  740.0000      0.00006458  0.93548214E+00 -0.20469155E-04  0.26718367E+19 -0.12862628E-07  0.36667843E+15  0.29917183E+00  0.13965947E-10  0.40029456E+00
  750.0000      0.00006458  0.96807872E+00 -0.21561593E-04  0.28036286E+19 -0.12427900E-07  0.38640502E+15  0.31026017E+00  0.14452586E-10  0.40032284E+00
  760.0000      0.00006458  0.10010139E+01 -0.22609812E-04  0.29390611E+19 -0.12019483E-07  0.40680638E+15  0.32153022E+00  0.14944280E-10  0.40035063E+00
  770.0000      0.00006458  0.10342765E+01 -0.23616755E-04  0.30781439E+19 -0.11635512E-07  0.42789149E+15  0.33298070E+00  0.15440861E-10  0.40037793E+00
  780.0000      0.00006458  0.10678553E+01 -0.24585071E-04  0.32208857E+19 -0.11274230E-07  0.44966923E+15  0.34461036E+00  0.15942165E-10  0.40040479E+00
  790.0000      0.00006458  0.11017398E+01 -0.25517154E-04  0.33672943E+19 -0.10933993E-07  0.47214835E+15  0.35641801E+00  0.16448031E-10  0.40043122E+00
  800.0000      0.00006458  0.11359194E+01 -0.26415171E-04  0.35173761E+19 -0.10613265E-07  0.49533748E+15  0.36840252E+00  0.16958304E-10  0.40045723E+00
  810.0000      0.00006458  0.11703841E+01 -0.27281091E-04  0.36711371E+19 -0.10310619E-07  0.51924512E+15  0.38056277E+00  0.17472832E-10  0.40048286E+00
  820.0000      0.00006458  0.12051240E+01 -0.28116704E-04  0.38285818E+19 -0.10024732E-07  0.54387968E+15  0.39289772E+00  0.17991468E-10  0.40050811E+00
  830.0000      0.00006458  0.12401294E+01 -0.28923650E-04  0.39897141E+19 -0.97543786E-08  0.56924942E+15  0.40540636E+00  0.18514069E-10  0.40053300E+00
  840.0000      0.00006458  0.12753911E+01 -0.29703428E-04  0.41545370E+19 -0.94984301E-08  0.59536251E+15  0.41808772E+00  0.19040496E-10  0.40055755E+00
  850.0000      0.00006458  0.13109000E+01 -0.30457414E-04  0.43230528E+19 -0.92558434E-08  0.62222702E+15  0.43094090E+00  0.19570613E-10  0.40058177E+00
  860.0000      0.00006458  0.13466473E+01 -0.31186879E-04  0.44952626E+19 -0.90256581E-08  0.64985089E+15  0.44396502E+00  0.20104290E-10  0.40060568E+00
  870.0000      0.00006458  0.13826245E+01 -0.31892993E-04  0.46711672E+19 -0.88069897E-08  0.67824196E+15  0.45715923E+00  0.20641399E-10  0.40062928E+00
  880.0000      0.00006458  0.14188233E+01 -0.32576840E-04  0.48507664E+19 -0.85990240E-08  0.70740797E+15  0.47052276E+00  0.21181816E-10  0.40065260E+00
  890.0000      0.00006458  0.14552356E+01 -0.33239428E-04  0.50340594E+19 -0.84010122E-08  0.73735655E+15  0.48405485E+00  0.21725421E-10  0.40067564E+00
  900.0000      0.00006458  0.14918538E+01 -0.33881692E-04  0.52210447E+19 -0.82122650E-08  0.76809522E+15  0.49775478E+00  0.22272098E-10  0.40069841E+00
  910.0000      0.00006458  0.15286701E+01 -0.34504507E-04  0.54117201E+19 -0.80321486E-08  0.79963144E+15  0.51162189E+00  0.22821734E-10  0.40072093E+00
  920.0000      0.00006458  0.15656772E+01 -0.35108688E-04  0.56060830E+19 -0.78600797E-08  0.83197251E+15  0.52565553E+00  0.23374219E-10  0.40074320E+00
  930.0000      0.00006458  0.16028682E+01 -0.35695001E-04  0.58041300E+19 -0.76955214E-08  0.86512569E+15  0.53985511E+00  0.23929448E-10  0.40076524E+00
  940.0000      0.00006458  0.16402360E+01 -0.36264165E-04  0.60058571E+19 -0.75379794E-08  0.89909811E+15  0.55422005E+00  0.24487317E-10  0.40078704E+00
  950.0000      0.00006458  0.16777740E+01 -0.36816856E-04  0.62112602E+19 -0.73869985E-08  0.93389682E+15  0.56874982E+00  0.25047728E-10  0.40080863E+00
  960.0000      0.00006458  0.17154757E+01 -0.37353710E-04  0.64203341E+19 -0.72421593E-08  0.96952876E+15  0.58344391E+00  0.25610582E-10  0.40083001E+00
  970.0000      0.00006458  0.17533349E+01 -0.37875330E-04  0.66330735E+19 -0.71030749E-08  0.10060008E+16  0.59830186E+00  0.26175788E-10  0.40085118E+00
  980.0000      0.00006458  0.17913455E+01 -0.38382286E-04  0.68494725E+19 -0.69693885E-08  0.10433197E+16  0.61332322E+00  0.26743254E-10  0.40087216E+00
  990.0000      0.00006458  0.18295017E+01 -0.38875119E-04  0.70695249E+19 -0.68407709E-08  0.10814922E+16  0.62850757E+00  0.27312893E-10  0.40089296E+00
 1000.0000      0.00006458  0.18677978E+01 -0.39354340E-04  0.72932239E+19 -0.67169178E-08  0.11205248E+16  0.64385453E+00  0.27884620E-10  0.40091357E+00
 1010.0000      0.00006458  0.19062282E+01 -0.39820439E-04  0.75205625E+19 -0.65975479E-08  0.11604241E+16  0.65936373E+00  0.28458353E-10  0.40093401E+00
 1020.0000      0.00006458  0.19447877E+01 -0.40273880E-04  0.77515331E+19 -0.64824012E-08  0.12011964E+16  0.67503484E+00  0.29034013E-10  0.40095428E+00
 1030.0000      0.00006458  0.19834711E+01 -0.40715106E-04  0.79861279E+19 -0.63712368E-08  0.12428482E+16  0.69086753E+00  0.29611523E-10  0.40097439E+00
 1040.0000      0.00006458  0.20222734E+01 -0.41144541E-04  0.82243387E+19 -0.62638316E-08  0.12853855E+16  0.70686152E+00  0.30190809E-10  0.40099434E+00
 1050.0000      0.00006458  0.20611899E+01 -0.41562590E-04  0.84661570E+19 -0.61599787E-08  0.13288147E+16  0.72301654E+00  0.30771800E-10  0.40101415E+00
 1060.0000      0.00006458  0.21002159E+01 -0.41969641E-04  0.87115740E+19 -0.60594860E-08  0.13731418E+16  0.73933233E+00  0.31354424E-10  0.40103381E+00
 1070.0000      0.00006458  0.21393470E+01 -0.42366065E-04  0.89605806E+19 -0.59621751E-08  0.14183728E+16  0.75580866E+00  0.31938617E-10  0.40105333E+00
 1080.0000      0.00006458  0.21785787E+01 -0.42752218E-04  0.92131675E+19 -0.58678804E-08  0.14645135E+16  0.77244531E+00  0.32524312E-10  0.40107273E+00
 1090.0000      0.00006458  0.22179068E+01 -0.43128444E-04  0.94693250E+19 -0.57764474E-08  0.15115699E+16  0.78924209E+00  0.33111448E-10  0.40109199E+00
 1100.0000      0.00006458  0.22573274E+01 -0.43495071E-04  0.97290432E+19 -0.56877325E-08  0.15595477E+16  0.80619880E+00  0.33699964E-10  0.40111113E+00
 1110.0000      0.00006458  0.22968365E+01 -0.43852417E-04  0.99923119E+19 -0.56016019E-08  0.16084525E+16  0.82331528E+00  0.34289801E-10  0.40113015E+00
 1120.0000      0.00006458  0.23364304E+01 -0.44200785E-04  0.10259121E+20 -0.55179304E-08  0.16582900E+16  0.84059137E+00  0.34880904E-10  0.40114906E+00
 1130.0000      0.00006458  0.23761053E+01 -0.44540469E-04  0.10529460E+20 -0.54366015E-08  0.17090656E+16  0.85802693E+00  0.35473216E-10  0.40116785E+00
 1140.0000      0.00006458  0.24158578E+01 -0.44871753E-04  0.10803318E+20 -0.53575060E-08  0.17607849E+16  0.87562183E+00  0.36066687E-10  0.40118655E+00
 1150.0000      0.00006458  0.24556845E+01 -0.45194910E-04  0.11080683E+20 -0.52805419E-08  0.18134530E+16  0.89337595E+00  0.36661265E-10  0.40120514E+00
 1160.0000      0.00006458  0.24955821E+01 -0.45510203E-04  0.11361546E+20 -0.52056137E-08  0.18670753E+16  0.91128917E+00  0.37256902E-10  0.40122363E+00
 1170.0000      0.00006458  0.25355474E+01 -0.45817887E-04  0.11645895E+20 -0.51326319E-08  0.19216571E+16  0.92936139E+00  0.37853550E-10  0.40124203E+00
 1180.0000      0.00006458  0.25755773E+01 -0.46118208E-04  0.11933718E+20 -0.50615122E-08  0.19772033E+16  0.94759252E+00  0.38451162E-10  0.40126034E+00
 1190.0000      0.00006458  0.26156690E+01 -0.46411402E-04  0.12225003E+20 -0.49921760E-08  0.20337191E+16  0.96598247E+00  0.39049697E-10  0.40127857E+00
 1200.0000      0.00006458  0.26558196E+01 -0.46697701E-04  0.12519740E+20 -0.49245490E-08  0.20912094E+16  0.98453117E+00  0.39649110E-10  0.40129671E+00
 
   10.0000     -0.00006458  0.39893728E+00 -0.40892793E-04  0.99704999E+17 -0.63494516E-05  0.29158706E+11  0.34821584E-03  0.59557917E-11  0.40740176E+00
   20.0000     -0.00006458  0.38493395E+00 -0.10763479E-03  0.10620007E+18 -0.59464782E-05  0.71989603E+11  0.63384619E-03  0.57467339E-11  0.40737812E+00
   30.0000     -0.00006458  0.35174415E+00 -0.14736837E-03  0.10681329E+18 -0.58609621E-05  0.13609820E+12  0.91657462E-03  0.52512388E-11  0.40732904E+00
   40.0000     -0.00006458  0.31642462E+00 -0.17838500E-03  0.10667159E+18 -0.58109020E-05  0.22081352E+12  0.12451265E-02  0.47239484E-11  0.40725963E+00
   50.0000     -0.00006458  0.28389744E+00 -0.20373793E-03  0.10623099E+18 -0.57749816E-05  0.32369152E+12  0.16183666E-02  0.42383455E-11  0.40717224E+00
   60.0000     -0.00006458  0.25550769E+00 -0.22520295E-03  0.10561204E+18 -0.57464356E-05  0.44261227E+12  0.20224119E-02  0.38145109E-11  0.40706896E+00
   70.0000     -0.00006458  0.23121097E+00 -0.24385461E-03  0.10488934E+18 -0.57208796E-05  0.57575964E+12  0.24443296E-02  0.34517816E-11  0.40695156E+00
   80.0000     -0.00006458  0.21050933E+00 -0.26038271E-03  0.10410759E+18 -0.56957854E-05  0.72167537E+12  0.28749558E-02  0.31427239E-11  0.40682146E+00
   90.0000     -0.00006458  0.19282718E+00 -0.27526032E-03  0.10329397E+18 -0.56697178E-05  0.87922872E+12  0.33083935E-02  0.28787446E-11  0.40667984E+00
  100.0000     -0.00006458  0.17764027E+00 -0.28882679E-03  0.10246612E+18 -0.56418375E-05  0.10475508E+13  0.37410030E-02  0.26520170E-11  0.40652766E+00
  110.0000     -0.00006458  0.16450811E+00 -0.30133266E-03  0.10163619E+18 -0.56116499E-05  0.12259705E+13  0.41705855E-02  0.24559651E-11  0.40636574E+00
